Region,State,District,Location,Plant name ,Owner,Sector,Status,Unit,Capacity (MW),Commissioning year,Boiler,Coal Source,Import country,Port,Type plant,Coal Type,Latitude,Longitude,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Southern,Andhra Pradesh,Nellore,"Thaminnapatnam Village, Chillakur",Kineta Power Thermal Station,Jindal Group,Private,Permitted,2,660.0,2025.0,Super-Critical,other,India,Krishnapattanam,Coastal,Domestic,14.166667,80.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Nellore,"Thaminnapatnam Village, Chillakur",Kineta Power Thermal Station,Jindal Group,Private,Permitted,3,660.0,2025.0,Super-Critical,other,India,Krishnapattanam,Coastal,Domestic,14.166667,80.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Nellore,"Thaminnapatnam Village, Chillakur",Meenakshi Energy Thermal Power Project ,Meenakshi Power Limited (GDS Suez),Private,Operating,1,150.0,2012.0,Sub-Critical,other,India,Krishnapattanam,Coastal,Domestic,14.204293,80.086599,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Southern,Andhra Pradesh,Nellore,"Thaminnapatnam Village, Chillakur",Meenakshi Energy Thermal Power Project ,Meenakshi Power Limited (GDS Suez),Private,Operating,2,150.0,2013.0,Sub-Critical,other,India,Krishnapattanam,Coastal,Domestic,14.204293,80.086599,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Southern,Andhra Pradesh,Nellore,"Thaminnapatnam Village, Chillakur",Meenakshi Energy Thermal Power Project ,Meenakshi Power Limited (GDS Suez),Private,Permitted,3,300.0,2015.0,Sub-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.204293,80.086599,0.0,0.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
Southern,Andhra Pradesh,Nellore,"Thaminnapatnam Village, Chillakur",Meenakshi Energy Thermal Power Project ,Meenakshi Power Limited (GDS Suez),Private,Pre-Permit Development,4,300.0,2016.0,Sub-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.204293,80.086599,0.0,0.0,0.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
Southern,Andhra Pradesh,Nellore,Pynampuram,Muthukur Madal Power Station (Painampuram),Nellcast Energy Corporation,Private,Construction,1,660.0,2018.0,Super-Critical,other,Indonesia,none,Non-Coastal,Domestic,14.351201,80.145124,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0
Southern,Andhra Pradesh,Nellore,Pynampuram,Muthukur Madal Power Station (Painampuram),Nellcast Energy Corporation,Private,Construction,2,660.0,2018.0,Super-Critical,other,Indonesia,none,Non-Coastal,Domestic,14.351201,80.145124,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0
Southern,Andhra Pradesh,Nellore,Krishnapattam,Simhapuri-Thamminapatnam Power Plant Phase I,Simhapuri Energy Private Limited,Private,Operating,1,150.0,2012.0,Sub-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.2045759,80.0866359,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Southern,Andhra Pradesh,Nellore,Krishnapattam,Simhapuri-Thamminapatnam Power Plant Phase I,Simhapuri Energy Private Limited,Private,Operating,2,150.0,2012.0,Sub-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,15.2045759,80.0866359,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Southern,Andhra Pradesh,Nellore,Krishnapattam,Simhapuri-Thamminapatnam Power Plant Phase II,Simhapuri Energy Private Limited,Private,Operating,3,150.0,2014.0,Sub-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,16.2045759,80.0866359,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Southern,Andhra Pradesh,Nellore,Krishnapattam,Simhapuri-Thamminapatnam Power Plant Phase II,Simhapuri Energy Private Limited,Private,Operating,4,150.0,2015.0,Sub-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,17.2045759,80.0866359,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Southern,Andhra Pradesh,Nellore,Krishnapattam,Simhapuri-Thamminapatnam Power Plant Phase III,Simhapuri Energy Private Limited,Private,Pre-Permit Development,5,660.0,2024.0,Super-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,18.2045759,80.0866359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0
Southern,Andhra Pradesh,Nellore,Krishnapattam,Simhapuri-Thamminapatnam Power Plant Phase III,Simhapuri Energy Private Limited,Private,Pre-Permit Development,6,660.0,2024.0,Super-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,19.2045759,80.0866359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0
Southern,Andhra Pradesh,Nellore,Nellaturu,Sri Damodaram Sanjeevaiah Thermal Power Plant ,Andhra Pradesh Power Generation Corporation (APGENCO),State,Operating,1,800.0,2014.0,Super-Critical,Talcher Coal Field,Indonesia,Krishnapattanam,Coastal,Blended,14.328902,80.120924,0.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
